##4113706,...2,...3
acute,acute,jj
sense,sense,nn1
that,that,cst
a,a,at1
Rubicon,rubicon,nn1
is,be,vbz
about,about,rpk
to,to,to
be,be,vbi
crossed,cross,vvn
that,that,cst
a,a,at1
nuclear-armed,nuclear-armed,jj
Iran,iran,np1
",",",",y
whose,whose,ddqge
President,president,nnb
Mahmoud,mahmoud,np1
Ahmadinejad,ahmadinejad,np1
calls,call,vvz_nn2
for,for,if
Israel,israel,np1
's,'s,ge
destruction,destruction,nn1
",",",",y
is,be,vbz
a,a,at1
direct,direct,jj
existential,existential,jj
threat,threat,nn1
.,.,y
#,#,fo
Most,most,dat
of,of,io
the,the,at
West,west,nd1
does,do,vdz
agree,agree,vvi
with,with,iw
Israel,israel,np1
that,that,cst
Iran,iran,np1
",",",",y
despite,despite,ii
denials,denial,nn2
",",",",y
is,be,vbz
developing,develop,vvg_jj
nuclear,nuclear,jj
weapons,weapon,nn2
technology,technology,nn1
.,.,y
But,but,ccb
the,the,at
United,united,np1
States,state,np1
is,be,vbz
clearly,clearly,rr
concerned,concerned,jj
that,that,cst
a,a,at1
military,military,jj
attack,attack,nn1
could,could,vm
backfire,backfire,vvi
",",",",y
fragmenting,fragment,vvg
international,international,jj
opposition,opposition,nn1
to,to,ii
Iran,iran,np1
and,and,cc
sending,send,vvg
oil,oil,nn1
prices,price,nn2_vvz%
skyrocketing.,skyrocketing,nnu
#,#,fo
Beginning,beginning,nn1
Friday,friday,npd1
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
Netanyahu,netanyahu,np1_nn1
and,and,cc
much,much,da1
of,of,io
Israel,israel,np1
's,'s,ge_vbz
political,political,jj
and,and,cc
military,military,jj
leadership,leadership,nn1
.,.,y
Israeli,israeli,jj_nn1
officials,official,nn2
involved,involved,jj
in,in,ii
the,the,at
preparations,preparation,nn2
for,for,if
the,the,at
meetings,meeting,nn2
said,say,vvd
they,they,pphs2
expected,expect,vvd
Dempsey,dempsey,np1
to,to,to
urge,urge,vvi
restraint,restraint,nn1
as,as,ii_csa
the,the,at
U.S.,us,np1
tries,try,vvz
to,to,to
rally,rally,vvi
additional,additional,jj
global,global,jj
pressure,pressure,nn1
on,on,ii
Iran,iran,np1
.,.,y
They,they,pphs2
spoke,speak,vvd
on,on,ii
condition,condition,nn1
of,of,io
anonymity,anonymity,nn1
because,because,ii21
of,of,ii22
the,the,at
sensitivity,sensitivity,nn1
of,of,io
the,the,at
visit,visit,nn1
.,.,y
#,#,fo
In,in,ii
a,a,at1
joint,joint,jj
statement,statement,nn1
",",",",y
the,the,at
U.S.,us,np1
and,and,cc
Israel,israel,np1
said,say,vvd
the,the,at
visit,visit,nn1
would,would,vm
focus,focus,vvi
on,on,ii
NA,y,NA
cooperation,cooperation,nn1
between,between,ii
the,the,at
two,two,mc
militaries,military,nn2
",",",",y
as,as,ii31_rg
well,well,ii32_rr
as,as,ii33_csa
mutual,mutual,jj
security,security,nn1
challenges,challenge,nn2
.,.,y
NA,y,NA
#,#,fo
Israeli,israeli,jj_nn1
Cabinet,cabinet,nn1
Minister,minister,nn1
Dan,dan,np1
Meridor,meridor,np1
",",",",y
whose,whose,ddqge
responsibilities,responsibility,nn2
include,include,vv0
monitoring,monitor,vvg
the,the,at
Iranian,iranian,jj
nuclear,nuclear,jj
program,program,nn1
",",",",y
said,say,vvd
there,there,ex_rl
was,be,vbdz
broad,broad,jj
agreement,agreement,nn1
with,with,iw
the,the,at
Americans,american,nn2
and,and,cc
the,the,at
West,west,nd1
on,on,ii
the,the,at
need,need,nn1
to,to,to
stop,stop,vvi
the,the,at
Iranians,iranian,nn2
.,.,y
NA,y,NA
If,if,cs
the,the,at
sanctions,sanction,nn2
work,work,vv0
",",",",y
then,then,rt
all,all,db
the,the,at
other,other,jj
options,option,nn2
will,will,vm
remain,remain,vvi
strictly,strictly,rr
theoretical,theoretical,jj
",",",",y
NA,y,NA
he,he,pphs1
said,say,vvd
.,.,y
#,#,fo
An,a,at1
air,air,nn1
raid,raid,nn1
on,on,ii
Iran,iran,np1
would,would,vm
require,require,vvi
flying,fly,vvg
over,over,rp
potentially,potentially,rr
hostile,hostile,jj
Arab,arab,jj_nn1
airspace,airspace,nn1
and,and,cc
could,could,vm
well,well,rr
trigger,trigger,vvi
a,a,at1
response,response,nn1
from,from,ii
Iran,iran,np1
",",",",y
which,which,ddq
possesses,possess,vvz
an,a,at1
arsenal,arsenal,nn1
of,of,io
missiles,missile,nn2
capable,capable,jj
of,of,io
striking,strike,vvg_jj
Israel,israel,np1
.,.,y
The,the,at
Iranians,iranian,nn2
could,could,vm
also,also,rr
encourage,encourage,vvi
their,their,appge
proxies,proxy,nn2
",",",",y
Hezbollah,hezbollah,np1
in,in,ii
Lebanon,lebanon,np1
and,and,cc
Hamas,hamas,np2_nn2@
in,in,ii
the,the,at
Gaza,gaza,np1
Strip,strip,nn1
",",",",y
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
American,american,jj
soldiers,soldier,nn2
based,base,vvn
in,in,ii
the,the,at
Persian,persian,jj
Gulf,gulf,nn1
might,might,vm
come,come,vvi
under,under,ii
fire,fire,nn1
.,.,y
Islamist,islamist,nn1_jj@_np1@
backers,backer,nn2
of,of,io
Iran,iran,np1
could,could,vm
target,target,vvi
civilians,civilian,nn2
all,all,rr
over,over,ii
the,the,at
world,world,nn1
.,.,y
#,#,fo
It,it,pph1_nn1@
also,also,rr
remains,remain,vvz
unclear,unclear,jj
how,how,rgq@_rrq
much,much,da1_rr
damage,damage,nn1_vv0
an,a,at1
attack,attack,nn1
could,could,vm
inflict,inflict,vvi
.,.,y
Iran,iran,np1
's,'s,ge
nuclear,nuclear,jj
facilities,facility,nn2
are,be,vbr
scattered,scatter,vvn
throughout,throughout,ii
the,the,at
country,country,nn1
and,and,cc
buried,bury,vvn_vvd@
deep,deep,rr_jj
underground,underground,rl_jj
.,.,y
Israeli,israeli,jj_nn1
officials,official,nn2
concede,concede,vv0
that,that,cst
any,any,dd
attack,attack,nn1
could,could,vm
set,set,vvi
back,back,rp
",",",",y
but,but,ccb
not,not,xx
destroy,destroy,vv0
",",",",y
Iran,iran,np1
's,'s,ge
nuclear,nuclear,jj
ambitions,ambition,nn2
.,.,y
#,#,fo
Speaking,speak,vvg
with,with,iw
The,the,at
Associated,associated,jj
Press,press,nn1
",",",",y
a,a,at1
senior,senior,jj
military,military,jj
official,official,nn1
said,say,vvd
Thursday,thursday,npd1
that,that,cst
the,the,at
threat,threat,nn1
is,be,vbz
real,real,jj
.,.,y
NA,y,NA
If,if,cs
you,you,ppy
are,be,vbr
talking,talk,vvg
about,about,ii
the,the,at
use,use,nn1
of,of,io
power,power,nn1
against,against,ii
Iran,iran,np1
",",",",y
any,any,dd
kind,kind,nn1
of,of,io
power,power,nn1
",",",",y
and,and,cc
create,create,vv0
any,any,dd
damage,damage,vv0_nn1
over,over,rp_ii
there,there,rl
",",",",y
yes,yes,uh
",",",",y
it,it,pph1
can,can,vm
be,be,vbi
done,do,vdn
",",",",y
NA,y,NA
the,the,at
official,official,nn1
said,say,vvd
",",",",y
speaking,speak,vvg
on,on,ii
condition,condition,nn1
of,of,io
anonymity,anonymity,nn1
under,under,ii_rg@
military,military,jj
guidelines,guideline,nn2
.,.,y
#,#,fo
Israel,israel,np1
has,have,vhz
attacked,attack,vvn
nuclear,nuclear,jj
sites,site,nn2
in,in,ii
foreign,foreign,jj
countries,country,nn2
before,before,rt
.,.,y
In,in,ii
1981,1981,mc
",",",",y
Israeli,israeli,jj_nn1
warplanes,warplane,nn2
destroyed,destroy,vvd_vvn
an,a,at1
unfinished,unfinished,jj
Iraqi,iraqi,jj
nuclear,nuclear,jj
reactor,reactor,nn1
.,.,y
In,in,ii
2007,2007,mc
",",",",y
Israeli,israeli,jj
aircraft,aircraft,nn
destroyed,destroy,vvd_vvn
a,a,at1
site,site,nn1
in,in,ii
Syria,syria,np1
that,that,cst
the,the,at
U.N,un,np1
.,.,y
nuclear,nuclear,jj
watchdog,watchdog,nn1
deemed,deem,vvn_vvd@
to,to,to
be,be,vbi
a,a,at1
secretly,secretly,rr
built,build,vvn_vvd
nuclear,nuclear,jj
reactor.,reactor,nnu
#,#,fo
While,while,cs
Israel,israel,np1
is,be,vbz
unlikely,unlikely,jj
to,to,to
strike,strike,vvi
without,without,iw
coordinating,coordinate,vvg
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
aircraft,aircraft,nn
carriers,carrier,nn2
and,and,cc
military,military,jj
bases,base,nn2
in,in,ii
the,the,at
Gulf,gulf,np1_nn1@
",",",",y
Israeli,israeli,jj_nn1
officials,official,nn2
will,will,vm
not,not,xx
make,make,vvi
any,any,dd
promises,promise,nn2
to,to,ii
Dempsey,dempsey,np1
",",",",y
the,the,at
officials,official,nn2
said,say,vvd
.,.,y
#,#,fo
This,this,dd1
week,week,nnt1
",",",",y
Netanyahu,netanyahu,np1
told,tell,vvd
lawmakers,lawmaker,nn2
that,that,cst
four,four,mc
rounds,round,nn2
of,of,io
international,international,jj
sanctions,sanction,nn2
NA,y,NA
have,have,vh0
harmed,harm,vvn
the,the,at
Iranians,iranian,nn2
but,but,ccb
not,not,xx
in,in,ii
a,a,at1
way,way,nn1
that,that,cst_dd1
would,would,vm
stop,stop,vvi
their,their,appge
nuclear,nuclear,jj
program,program,nn1
.,.,y
NA,y,NA
His,his,appge
deputy,deputy,nn1
prime,prime,jj
minister,minister,nn1
",",",",y
Moshe,moshe,np1
Yaalon,yaalon,np1
",",",",y
expressed,express,vvd_jj@_vvn
disappointment,disappointment,nn1
in,in,ii
a,a,at1
radio,radio,nn1
interview,interview,nn1_vv0@
that,that,cst
the,the,at
U.S.,us,np1
has,have,vhz
delayed,delay,vvn
plans,plan,nn2_vvz
to,to,to
expand,expand,vvi
sanctions,sanction,nn2
",",",",y
suggesting,suggest,vvg
election-year,election-year,jj
considerations,consideration,nn2
were,be,vbdr
to,to,to
blame,blame,vvi
.,.,y
#,#,fo
And,and,cc
in,in,ii
an,a,at1
interview,interview,nn1
published,publish,vvd
Thursday,thursday,npd1
",",",",y
the,the,at
recently,recently,rr
retired,retired,jj_vvn_vvd
Israeli,israeli,jj_nn1
military,military,jj
intelligence,intelligence,nn1
chief,chief,nn1
claimed,claim,vvd
Iran,iran,np1
already,already,rr
has,have,vhz
all,all,db
the,the,at
components,component,nn2
to,to,to
build,build,vvi
a,a,at1
nuclear,nuclear,jj
bomb,bomb,nn1
.,.,y
NA,y,NA
If,if,cs
the,the,at
Iranians,iranian,nn2
get,get,vv0
together,together,rl
tonight,tonight,rt
and,and,cc
decide,decide,vv0
to,to,to
secretly,secretly,rr
develop,develop,vvi
a,a,at1
bomb,bomb,nn1
",",",",y
then,then,rt
they,they,pphs2
have,have,vh0
all,all,db
the,the,at
resources,resource,nn2
and,and,cc
components,component,nn2
to,to,to
do,do,vdi
so,so,rr
",",",",y
NA,y,NA
Amos,amo,np1
Yadlin,NA,np1
told,tell,vvd
the,the,at
Maariv,maariv,nn1_np1
daily,daily,rr_nn1@_jj
.,.,y
#,#,fo
In,in,ii
a,a,at1
balancing,balancing,nn1@_jj%
message,message,nn1
",",",",y
Defense,defense,nn1
Minister,minister,nn1
Ehud,ehud,np1
Barak,barak,np1
said,say,vvd
Wednesday,wednesday,npd1
that,that,cst
Israel,israel,np1
was,be,vbdz
NA,y,NA
very,very,rg
far,far,rr_jj
NA,y,NA
from,from,ii
deciding,decide,vvg
whether,whether,csw
to,to,to
strike,strike,vvi
.,.,y
And,and,cc
Israel,israel,np1
and,and,cc
the,the,at
United,united,np1
States,state,np1
this,this,dd1
week,week,nnt1
postponed,postpone,vvn_vvd@
a,a,at1
major,major,jj
military,military,jj
exercise,exercise,nn1
.,.,y
#,#,fo
Israelis,israeli,nn2
generally,generally,rr
assess,assess,vv0
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
to,to,to
build,build,vvi
a,a,at1
bomb,bomb,nn1
but,but,ccb
a,a,at1
year,year,nnt1
or,or,cc
two,two,mc
away,away,ii21_rl
from,from,ii22_ii
being,be,vbg
able,able,jk
to,to,to
build,build,vvi
and,and,cc
deliver,deliver,vvi
an,a,at1
atomic,atomic,jj
weapon,weapon,nn1
.,.,y
#,#,fo
In,in,ii
a,a,at1
possible,possible,jj
preview,preview,nn1
of,of,io
Dempsey,dempsey,np1
's,'s,ge
message,message,nn1
",",",",y
a,a,at1
senior,senior,jj
U.S.,us,np1
State,state,nn1
Department,department,nn1
official,official,nn1
convened,convene,vvd_vvn
Israeli,israeli,jj
journalists,journalist,nn2
on,on,ii
Wednesday,wednesday,npd1
and,and,cc
insisted,insist,vvd
American,american,jj
sanctions,sanction,nn2
have,have,vh0
been,be,vbn
effective,effective,jj
",",",",y
Israeli,israeli,jj_nn1
newspapers,newspaper,nn2
reported,report,vvd_vvn
.,.,y
#,#,fo
The,the,at
official,official,nn1_jj
",",",",y
who,who,pnqs
was,be,vbdz
not,not,xx
identified,identify,vvn
",",",",y
reportedly,reportedly,rr
said,say,vvd_vvn@
sanctions,sanction,nn2
were,be,vbdr
gradual,gradual,jj
to,to,to
avoid,avoid,vvi
a,a,at1
sudden,sudden,jj
jump,jump,nn1
in,in,ii
oil,oil,nn1
prices,price,nn2
but,but,ccb
could,could,vm
be,be,vbi
ramped,ramp,vvn@
up,up,rp
to,to,to
include,include,vvi
an,a,at1
embargo,embargo,nn1
on,on,ii
Iran,iran,np1
's,'s,ge
central,central,jj
bank,bank,nn1
and,and,cc
were,be,vbdr
already,already,rr
having,have,vhg
a,a,at1
harsh,harsh,jj
effect,effect,nn1
on,on,ii
Iran,iran,np1
's,'s,ge
economy,economy,nn1
.,.,y
#,#,fo
For,for,if
more,more,dar
than,than,csn
three,three,mc
years,year,nnt2
",",",",y
Tehran,tehran,np1
has,have,vhz
blocked,block,vvn
International,international,jj
Atomic,atomic,jj
Energy,energy,nn1
Agency,agency,nn1
attempts,attempt,nn2_vvz@
to,to,to
follow,follow,vvi
up,up,rp
on,on,ii
U.S.,us,np1
and,and,cc
other,other,jj
intelligence,intelligence,nn1
alleging,allege,vvg
covert,covert,jj
Iranian,iranian,jj
work,work,nn1
on,on,ii
nuclear,nuclear,jj
arms,arm,nn2
",",",",y
dismissing,dismiss,vvg
the,the,at
charges,charge,nn2
as,as,csa_rg@
baseless,baseless,jj
and,and,cc
insisting,insist,vvg
all,all,db
its,its,appge
nuclear,nuclear,jj
activities,activity,nn2
were,be,vbdr
peaceful,peaceful,jj
.,.,y
In,in,ii
November,november,npm1
the,the,at
IAEA,iaea,np1
issued,issue,vvd
a,a,at1
report,report,nn1
saying,say,vvg
some,some,dd
of,of,io
Iran,iran,np1
's,'s,ge
alleged,alleged,jj
experiments,experiment,nn2
have,have,vh0
no,no,at
other,other,jj
purpose,purpose,nn1
than,than,csn
developing,developing,jj_vvg
nuclear,nuclear,jj
weapons,weapon,nn2
.,.,y
#,#,fo
In,in,ii
Paris,paris,np1
",",",",y
French,french,jj
Foreign,foreign,jj
Minister,minister,nn1
Alain,alain,np1
Juppe,juppe,np1
said,say,vvd
he,he,pphs1
hoped,hope,vvd
European,european,jj
Union,union,nn1_np1
foreign,foreign,jj
ministers,minister,nn2
will,will,vm
reach,reach,vvi
an,a,at1
accord,accord,nn1
at,at,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
petroleum,petroleum,nn1
exports,export,nn2_vvz
and,and,cc
a,a,at1
freeze,freeze,nn1
on,on,ii
the,the,at
assets,asset,nn2
of,of,io
the,the,at
Iranian,iranian,jj
Central,central,jj
Bank,bank,nn1
.,.,y
#,#,fo
The,the,at
U.S.,us,np1
last,last,md
month,month,nnt1
enacted,enact,vvd_vvn
similar,similar,jj
sanctions,sanction,nn2
",",",",y
though,though,cs
it,it,pph1
has,have,vhz
delayed,delay,vvn
implementing,implement,vvg
them,them,ppho2
for,for,if
at,at,rr21
least,least,rr22
six,six,mc
months,month,nnt2
in,in,ii
fear,fear,nn1
of,of,io
sending,send,vvg
oil,oil,nn1
prices,price,nn2_vvz%
higher,high,jjr_rrr@
at,at,ii
a,a,at1
time,time,nnt1
when,when,rrq
the,the,at
global,global,jj
economy,economy,nn1
is,be,vbz
struggling,struggle,vvg_jj
.,.,y
Iran,iran,np1
has,have,vhz
threatened,threaten,vvn
to,to,to
close,close,vvi
the,the,at
strategic,strategic,jj
Strait,strait,nn1
of,of,io
Hormuz,hormuz,np1_nn1@
in,in,ii31
response,response,ii32
to,to,ii33
sanctions,sanction,nn2
.,.,y
#,#,fo
At,at,ii
the,the,at
Pentagon,pentagon,np1_nn1@
on,on,ii
Wednesday,wednesday,npd1
",",",",y
U.S.,us,np1
Defense,defense,nn1
Secretary,secretary,nn1_np1@
Leon,leon,np1
Panetta,panetta,np1
said,say,vvd
the,the,at
U.S.,us,np1
military,military,nn1@_jj
was,be,vbdz
NA,y,NA
fully,fully,rr
prepared,prepare,vvn
NA,y,NA
to,to,to
deal,deal,vvi
with,with,iw
any,any,dd
Iranian,iranian,jj
effort,effort,nn1
to,to,to
close,close,vvi
the,the,at
Strait,strait,nn1
of,of,io
Hormuz,hormuz,np1_nn1@
.,.,y
Iran,iran,np1
has,have,vhz
threatened,threaten,vvn
to,to,to
close,close,vvi
the,the,at
strategic,strategic,jj
waterway,waterway,nn1
",",",",y
the,the,at
route,route,nn1
for,for,if
about,about,rg%_ii
one-sixth,one-sixth,mf
of,of,io
the,the,at
global,global,jj
oil,oil,nn1
flow,flow,nn1
",",",",y
because,because,ii21
of,of,ii22
new,new,jj
U.S.,us,np1
sanctions.,sanction,nnu
#,#,fo
#,#,fo
##4113707,NA,NA
Penn,penn,np1
State,state,nn1
trustees,trustee,nn2
say,say,vv0
they,they,pphs2
decided,decide,vvd
to,to,to
oust,oust,vvi
Joe,joe,np1
Paterno,paterno,np1_nn1
in,in,rr21
part,part,rr22
because,because,cs
the,the,at
football,football,nn1
coach,coach,nn1
did,do,vdd
n't,n't,xx
meet,meet,vvi
a,a,at1
moral,moral,jj
obligation,obligation,nn1
to,to,to
do,do,vdi
more,more,rrr_dar
to,to,to
alert,alert,vvi
authorities,authority,nn2
about,about,ii
a,a,at1
child,child,nn1
sex,sex,nn1
abuse,abuse,nn1
allegation,allegation,nn1
against,against,ii
a,a,at1
retired,retired,jj
assistant,assistant,jj_nn1
coach,coach,nn1
.,.,y
#,#,fo
Trustees,trustee,nn2
interviewed,interview,vvd
Thursday,thursday,npd1
by,by,ii
The,the,at
Associated,associated,jj
Press,press,nn1
also,also,rr
cited,cite,vvn_vvd
statements,statement,nn2
from,from,ii
Paterno,paterno,np1_nn1
in,in,ii
the,the,at
days,day,nnt2
and,and,cc
hours,hour,nnt2
leading,lead,vvg
to,to,ii
his,his,appge
dismissal,dismissal,nn1
Nov.,nov,npm1
9,9,mc
after,after,cs_ii
nearly,nearly,rr
a,a,at1
half-century,half-century,nnt1_jj
of,of,io
leading,lead,vvg
the,the,at
Nittany,nittany,nn1_np1
Lions,lion,nn2
that,that,cst
they,they,pphs2
felt,feel,vvd
challenged,challenge,vvd_vvn
the,the,at
Board,board,nn1
of,of,io
Trustees,trustee,nn2
authority,authority,nn1
.,.,y
Board,board,nn1_vv0@
members,member,nn2
saw,see,vvd
that,that,cst_dd1
as,as,rg@_csa
inappropriate,inappropriate,jj
",",",",y
particularly,particularly,rr
at,at,ii
a,a,at1
time,time,nnt1
of,of,io
intense,intense,jj
scrutiny,scrutiny,nn1
over,over,ii
the,the,at
case,case,nn1
of,of,io
former,former,da
defensive,defensive,jj
coordinator,coordinator,nn1
Jerry,jerry,np1
Sandusky.,sandusky,np1
#,#,fo
Sandusky,sandusky,np1
was,be,vbdz
charged,charge,vvn
with,with,iw
dozens,dozen,nno2
of,of,io
child,child,nn1
sex,sex,nn1
abuse,abuse,nn1
counts,count,vvz_nn2
four,four,mc
days,day,nnt2
before,before,ii_cs
Paterno,paterno,np1_nn1
was,be,vbdz
pushed,push,vvn
out,out,rp
.,.,y
The,the,at
head,head,jj
coach,coach,nn1
had,have,vhd
testified,testify,vvn
before,before,ii
a,a,at1
state,state,nn1
grand,grand,jj
jury,jury,nn1
about,about,ii
a,a,at1
2002,2002,mc
allegation,allegation,nn1
against,against,ii
Sandusky,sandusky,np1
that,that,dd1_cst
was,be,vbdz
passed,pass,vvn
on,on,ii21_rp
to,to,ii22_ii
him,him,ppho1
by,by,ii
a,a,at1
graduate,graduate,nn1
assistant,assistant,nn1
.,.,y
#,#,fo
A,a,zz1
day,day,nnt1
after,after,ii_cs
the,the,at
graduate,graduate,nn1
assistant,assistant,nn1
",",",",y
Mike,mike,np1
McQueary,mcqueary,np1
",",",",y
came,come,vvd
to,to,to
see,see,vvi
him,him,ppho1
",",",",y
Paterno,paterno,np1
relayed,relay,vvd
the,the,at
accusations,accusation,nn2
to,to,ii
his,his,appge
superiors,superior,nn2
",",",",y
one,one,mc1
of,of,io
whom,whom,pnqo
oversaw,oversee,vv0_nn1
campus,campus,nn1
police,police,nn2
.,.,y
Board,board,nn1_vv0@
members,member,nn2
did,do,vdd
n't,n't,xx
think,think,vvi
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
",",",",y
a,a,at1
moral,moral,jj
responsibility,responsibility,nn1
",",",",y
for,for,if
all,all,db
adults,adult,nn2
to,to,to
watch,watch,vvi
out,out,rp
for,for,if
children,child,nn2
",",",",y
either,either,rr
your,your,appge
own,own,da
or,or,cc
someone,someone,pn1
else,else,rr
",",",",y
NA,y,NA
trustee,trustee,nn1
Mark,mark,np1
Dambly,NA,np1_rr
said,say,vvd
.,.,y
NA,y,NA
It,it,pph1
was,be,vbdz
in,in,ii
our,our,appge
